CMDLINE C:\Python39\python.exe main.py
MEM 88.152344 1671224890.2678
MEM 88.152344 1671224890.3780
MEM 88.152344 1671224890.4883
MEM 88.152344 1671224890.5999
MEM 88.152344 1671224890.7096
MEM 88.152344 1671224890.8213
MEM 88.152344 1671224890.9331
MEM 88.152344 1671224891.0438
MEM 88.152344 1671224891.1540
MEM 88.152344 1671224891.2657
MEM 88.152344 1671224891.3764
MEM 88.152344 1671224891.4881
MEM 88.152344 1671224891.5998
MEM 88.152344 1671224891.7114
MEM 88.152344 1671224891.8231
MEM 88.152344 1671224891.9350
MEM 88.152344 1671224892.0457
MEM 88.152344 1671224892.1570
MEM 88.152344 1671224892.2678
MEM 88.152344 1671224892.3784
MEM 88.152344 1671224892.4901
MEM 88.152344 1671224892.6016
MEM 88.152344 1671224892.7124
MEM 88.152344 1671224892.8241
MEM 88.152344 1671224892.9357
MEM 88.152344 1671224893.0464
MEM 88.152344 1671224893.1582
MEM 88.152344 1671224893.2698
MEM 88.152344 1671224893.3800
MEM 88.152344 1671224893.4902
MEM 88.152344 1671224893.6004
MEM 88.152344 1671224893.7111
MEM 88.152344 1671224893.8228
MEM 88.152344 1671224893.9328
MEM 88.152344 1671224894.0437
MEM 88.152344 1671224894.1555
MEM 88.152344 1671224894.2671
MEM 88.152344 1671224894.3778
MEM 88.152344 1671224894.4895
MEM 88.152344 1671224894.6013
MEM 88.152344 1671224894.7114
MEM 88.152344 1671224894.8217
MEM 88.152344 1671224894.9334
MEM 88.152344 1671224895.0441
MEM 88.152344 1671224895.1557
MEM 88.152344 1671224895.2659
MEM 88.152344 1671224895.3766
MEM 88.152344 1671224895.4867
MEM 88.152344 1671224895.5984
MEM 88.152344 1671224895.7081
MEM 88.152344 1671224895.8198
MEM 88.152344 1671224895.9316
MEM 88.152344 1671224896.0424
MEM 88.152344 1671224896.1541
MEM 88.152344 1671224896.2648
MEM 88.152344 1671224896.3756
MEM 88.152344 1671224896.4873
MEM 88.152344 1671224896.5990
MEM 88.152344 1671224896.7097
MEM 88.152344 1671224896.8198
MEM 88.152344 1671224896.9298
MEM 88.152344 1671224897.0400
MEM 88.152344 1671224897.1517
MEM 88.152344 1671224897.2624
MEM 88.152344 1671224897.3731
MEM 88.152344 1671224897.4848
MEM 88.152344 1671224897.5955
MEM 88.152344 1671224897.7072
MEM 88.152344 1671224897.8189
MEM 88.152344 1671224897.9292
MEM 88.152344 1671224898.0409
MEM 88.152344 1671224898.1526
MEM 88.152344 1671224898.2633
MEM 88.152344 1671224898.3742
MEM 88.152344 1671224898.4854
MEM 88.152344 1671224898.5951
MEM 88.152344 1671224898.7068
MEM 88.152344 1671224898.8185
MEM 88.152344 1671224898.9292
MEM 88.152344 1671224899.0409
MEM 88.152344 1671224899.1526
MEM 88.152344 1671224899.2643
MEM 88.152344 1671224899.3750
MEM 88.152344 1671224899.4852
MEM 88.152344 1671224899.5959
MEM 88.152344 1671224899.7074
MEM 88.152344 1671224899.8191
MEM 88.152344 1671224899.9309
