CMDLINE C:\Python39\python.exe main_noplayer.py
MEM 136.371094 1671323195.9087
MEM 136.371094 1671323196.0184
MEM 136.371094 1671323196.1271
MEM 136.371094 1671323196.2380
MEM 136.371094 1671323196.3517
MEM 136.371094 1671323196.4594
MEM 136.371094 1671323196.5691
MEM 136.371094 1671323196.6783
MEM 136.371094 1671323196.7865
MEM 136.371094 1671323196.8956
MEM 136.371094 1671323197.0093
MEM 136.371094 1671323197.1180
MEM 136.371094 1671323197.2307
MEM 136.371094 1671323197.3425
MEM 136.371094 1671323197.4472
MEM 136.371094 1671323197.5569
MEM 136.371094 1671323197.6676
MEM 136.375000 1671323197.7778
MEM 136.375000 1671323197.8870
MEM 136.375000 1671323197.9981
MEM 136.375000 1671323198.1068
MEM 136.375000 1671323198.2175
MEM 136.375000 1671323198.3292
MEM 136.375000 1671323198.4390
MEM 136.375000 1671323198.5467
MEM 136.375000 1671323198.6574
MEM 136.375000 1671323198.7771
MEM 136.375000 1671323198.8913
MEM 136.375000 1671323199.0010
MEM 136.375000 1671323199.1117
MEM 136.375000 1671323199.2265
MEM 136.375000 1671323199.3337
MEM 136.375000 1671323199.4474
MEM 136.375000 1671323199.5542
MEM 136.375000 1671323199.6641
MEM 136.375000 1671323199.7739
MEM 136.375000 1671323199.8821
MEM 136.375000 1671323199.9923
MEM 136.375000 1671323200.1010
MEM 136.375000 1671323200.2107
MEM 136.375000 1671323200.3194
MEM 136.375000 1671323200.4281
MEM 136.375000 1671323200.5373
MEM 136.375000 1671323200.6500
MEM 136.375000 1671323200.7577
MEM 136.375000 1671323200.8674
MEM 136.375000 1671323200.9791
MEM 136.375000 1671323201.0870
MEM 136.375000 1671323201.1952
MEM 136.375000 1671323201.3090
MEM 136.375000 1671323201.4163
MEM 136.375000 1671323201.5270
MEM 136.375000 1671323201.6349
MEM 136.375000 1671323201.7456
MEM 136.375000 1671323201.8543
MEM 136.375000 1671323201.9650
MEM 136.375000 1671323202.0750
MEM 136.375000 1671323202.1857
MEM 136.375000 1671323202.2954
MEM 136.375000 1671323202.4051
MEM 136.375000 1671323202.5168
MEM 136.375000 1671323202.6285
MEM 136.375000 1671323202.7382
MEM 136.375000 1671323202.8519
MEM 136.375000 1671323202.9562
MEM 136.375000 1671323203.0659
MEM 136.375000 1671323203.1756
MEM 136.375000 1671323203.2953
MEM 136.375000 1671323203.3980
MEM 136.375000 1671323203.5037
MEM 136.375000 1671323203.6109
MEM 136.375000 1671323203.7206
MEM 136.375000 1671323203.8323
MEM 136.375000 1671323203.9410
MEM 136.375000 1671323204.0557
MEM 136.375000 1671323204.1644
MEM 136.375000 1671323204.2732
MEM 136.375000 1671323204.3829
MEM 136.375000 1671323204.4916
MEM 136.375000 1671323204.6010
MEM 136.375000 1671323204.7098
MEM 136.375000 1671323204.8205
MEM 136.375000 1671323204.9318
MEM 136.375000 1671323205.0440
MEM 136.375000 1671323205.1482
MEM 136.375000 1671323205.2589
MEM 136.375000 1671323205.3676
MEM 136.375000 1671323205.4793
MEM 136.375000 1671323205.5910
MEM 136.375000 1671323205.6997
MEM 136.375000 1671323205.8114
MEM 136.375000 1671323205.9201
MEM 136.375000 1671323206.0299
MEM 136.375000 1671323206.1416
MEM 136.375000 1671323206.2523
MEM 136.375000 1671323206.3650
